# Theta, f_p
0.60 0.005000
0.64 0.005000
0.68 0.005000
0.72 0.010000
0.76 0.010000
0.80 0.010000
0.84 0.020000
0.88 0.040000
0.92 0.020000
0.96 0.030000
1.00 0.030000
1.04 0.030000
1.08 0.090000
1.12 0.075000
1.16 0.095000
1.20 0.155000
1.24 0.200000
1.28 0.235000
1.32 0.250000
1.36 0.255000
1.40 0.345000
1.44 0.490000
1.48 0.560000
1.52 0.445000
1.56 0.550000
1.60 0.745000
1.64 0.750000
1.68 0.685000
1.72 1.030000
1.76 1.205000
1.80 1.280000
1.84 1.445000
1.88 1.230000
1.92 1.325000
1.96 1.720000
2.00 1.665000
# Theta, ug
0.60 9.126530e-11
0.64 5.259607e-11
0.68 3.593755e-11
0.72 1.294742e-10
0.76 2.602185e-11
0.80 1.390758e-10
0.84 9.208324e-11
0.88 -1.200450e-11
0.92 9.485324e-11
0.96 9.685829e-11
1.00 4.448866e-11
1.04 1.883753e-11
1.08 1.947871e-11
1.12 -1.450799e-11
1.16 6.942428e-11
1.20 -3.053851e-12
1.24 2.091497e-02
1.28 1.334878e-01
1.32 -6.596756e-12
1.36 3.271385e-11
1.40 2.697294e-11
1.44 0.000000e+00
1.48 0.000000e+00
1.52 0.000000e+00
1.56 0.000000e+00
1.60 1.738952e-01
1.64 1.737246e-01
1.68 0.000000e+00
1.72 0.000000e+00
1.76 1.055589e-01
1.80 1.875801e-01
1.84 4.202835e-01
1.88 0.000000e+00
1.92 2.560759e-01
1.96 5.362072e-01
2.00 2.705279e-01
