# Theta, f_p
0.24 0.000000
0.28 0.000000
0.32 0.000000
0.36 0.000000
0.40 0.000000
0.44 0.005000
0.48 0.005000
0.52 0.005000
0.56 0.005000
0.60 0.005000
0.64 0.090000
0.68 0.150000
0.72 1.130000
0.76 1.535000
0.80 1.710000
# Theta, ug
0.24 0.000000e+00
0.28 0.000000e+00
0.32 0.000000e+00
0.36 0.000000e+00
0.40 0.000000e+00
0.44 0.000000e+00
0.48 0.000000e+00
0.52 0.000000e+00
0.56 0.000000e+00
0.60 0.000000e+00
0.64 0.000000e+00
0.68 6.834126e-03
0.72 3.182765e-01
0.76 3.012896e-01
0.80 6.725082e-01
